time_aest,location,bed_elevation_m,tuflow_water_level_m,schism_water_level_m,reference_surface_m,surface_target_z_m,mid_depth_target_z_m,near_bottom_target_z_m
2011-05-02 15:00:00,Lower,-6.6967954636,-0.0193767548,0.0045501321,-0.0074133113,-0.5074133113,-3.3521043874,-6.1967954636
2011-05-02 16:00:00,Lower,-6.6967954636,-0.0492339134,-0.0250598799,-0.0371468967,-0.5371468967,-3.3669711801,-6.1967954636
2011-05-02 17:00:00,Lower,-6.6967954636,-0.0692811012,-0.0516862226,-0.0604836619,-0.5604836619,-3.3786395627,-6.1967954636
2011-05-02 18:00:00,Lower,-6.6967954636,-0.0493712425,-0.0444843200,-0.0469277813,-0.5469277813,-3.3718616224,-6.1967954636
2011-05-02 19:00:00,Lower,-6.6967954636,0.0006170273,0.0003408333,0.0004789303,-0.4995210697,-3.3481582666,-6.1967954636
2011-05-02 20:00:00,Lower,-6.6967954636,0.0605201721,0.0574285673,0.0589743697,-0.4410256303,-3.3189105469,-6.1967954636
2011-05-02 21:00:00,Lower,-6.6967954636,0.1207180023,0.1168924884,0.1188052454,-0.3811947546,-3.2889951091,-6.1967954636
2011-05-02 22:00:00,Lower,-6.6967954636,0.1603126526,0.1578500803,0.1590813665,-0.3409186335,-3.2688570486,-6.1967954636
2011-05-02 23:00:00,Lower,-6.6967954636,0.1703062057,0.1703465768,0.1703263913,-0.3296736087,-3.2632345361,-6.1967954636
2011-05-03 00:00:00,Lower,-6.6967954636,0.1402406693,0.1448679171,0.1425542932,-0.3574457068,-3.2771205852,-6.1967954636
2011-05-03 01:00:00,Lower,-6.6967954636,0.0906414986,0.1021265140,0.0963840063,-0.4036159937,-3.3002057286,-6.1967954636
2011-05-03 02:00:00,Lower,-6.6967954636,0.0206279755,0.0409121581,0.0307700668,-0.4692299332,-3.3330126984,-6.1967954636
2011-05-03 03:00:00,Lower,-6.6967954636,-0.0390954018,-0.0126161166,-0.0258557592,-0.5258557592,-3.3613256114,-6.1967954636
2011-05-03 04:00:00,Lower,-6.6967954636,-0.0893306732,-0.0591862297,-0.0742584514,-0.5742584514,-3.3855269575,-6.1967954636
2011-05-03 05:00:00,Lower,-6.6967954636,-0.1294336319,-0.0988892042,-0.1141614180,-0.6141614180,-3.4054784408,-6.1967954636
2011-05-03 06:00:00,Lower,-6.6967954636,-0.1193280220,-0.1070404214,-0.1131842217,-0.6131842217,-3.4049898426,-6.1967954636
2011-05-03 07:00:00,Lower,-6.6967954636,-0.0794205666,-0.0777674392,-0.0785940029,-0.5785940029,-3.3876947332,-6.1967954636
2011-05-03 08:00:00,Lower,-6.6967954636,-0.0194597244,-0.0212620877,-0.0203609061,-0.5203609061,-3.3585781848,-6.1967954636
2011-05-03 09:00:00,Lower,-6.6967954636,0.0603899956,0.0561430607,0.0582665282,-0.4417334718,-3.3192644677,-6.1967954636
2011-05-03 10:00:00,Lower,-6.6967954636,0.1205525398,0.1167445912,0.1186485655,-0.3813514345,-3.2890734490,-6.1967954636
2011-05-03 11:00:00,Lower,-6.6967954636,0.1602540016,0.1573995876,0.1588267946,-0.3411732054,-3.2689843345,-6.1967954636
2011-05-03 12:00:00,Lower,-6.6967954636,0.1603231430,0.1602176987,0.1602704208,-0.3397295792,-3.2682625214,-6.1967954636
2011-05-03 13:00:00,Lower,-6.6967954636,0.1303782463,0.1348542453,0.1326162458,-0.3673837542,-3.2820896089,-6.1967954636
2011-05-03 14:00:00,Lower,-6.6967954636,0.0807881355,0.0915466991,0.0861674173,-0.4138325827,-3.3053140231,-6.1967954636
2011-05-03 15:00:00,Lower,-6.6967954636,0.0207009315,0.0393416578,0.0300212947,-0.4699787053,-3.3333870845,-6.1967954636
2011-05-03 16:00:00,Lower,-6.6967954636,-0.0293021202,-0.0049095552,-0.0171058377,-0.5171058377,-3.3569506506,-6.1967954636
2011-05-03 17:00:00,Lower,-6.6967954636,-0.0693717003,-0.0426569283,-0.0560143143,-0.5560143143,-3.3764048889,-6.1967954636
2011-05-03 18:00:00,Lower,-6.6967954636,-0.0693559647,-0.0542760763,-0.0618160205,-0.5618160205,-3.3793057420,-6.1967954636
2011-05-03 19:00:00,Lower,-6.6967954636,-0.0494027138,-0.0455283188,-0.0474655163,-0.5474655163,-3.3721304899,-6.1967954636
2011-05-03 20:00:00,Lower,-6.6967954636,0.0003352165,0.0002116250,0.0002734208,-0.4997265792,-3.3482610214,-6.1967954636
2011-05-03 21:00:00,Lower,-6.6967954636,0.0707798004,0.0666991517,0.0687394760,-0.4312605240,-3.3140279938,-6.1967954636
2011-05-03 22:00:00,Lower,-6.6967954636,0.1301255226,0.1268711370,0.1284983298,-0.3715016702,-3.2841485669,-6.1967954636
2011-05-03 23:00:00,Lower,-6.6967954636,0.1703886986,0.1677175929,0.1690531457,-0.3309468543,-3.2638711589,-6.1967954636
2011-05-04 00:00:00,Lower,-6.6967954636,0.1702041626,0.1707934051,0.1704987838,-0.3295012162,-3.2631483399,-6.1967954636
2011-05-04 01:00:00,Lower,-6.6967954636,0.1402182579,0.1452158555,0.1427170567,-0.3572829433,-3.2770392034,-6.1967954636
2011-05-04 02:00:00,Lower,-6.6967954636,0.0806760788,0.0932645330,0.0869703059,-0.4130296941,-3.3049125788,-6.1967954636
2011-05-04 03:00:00,Lower,-6.6967954636,0.0008778572,0.0222090985,0.0115434778,-0.4884565222,-3.3426259929,-6.1967954636
